Time Detect LP,Time Detect Face,Total
0.16,2.603,2.763
0.082,2.549,2.631
0.325,2.543,2.868
0.083,2.58,2.663
0.086,2.572,2.658
0.237,2.567,2.804
0.233,2.616,2.849
0.326,2.628,2.954
0.087,2.576,2.663
0.084,2.57,2.654
0.16,2.588,2.748
0.089,2.641,2.729
0.238,2.601,2.839
0.173,2.669,2.842
0.082,2.614,2.696
0.16,2.588,2.748
0.233,2.588,2.821
0.087,2.624,2.711
0.166,2.617,2.783
0.096,2.633,2.729
0.094,2.576,2.67
0.086,2.572,2.657
0.093,2.605,2.698
0.161,2.603,2.764
0.167,2.574,2.741
0.083,2.58,2.663
0.084,2.571,2.654
0.378,2.605,2.983
0.158,2.601,2.759
0.232,2.561,2.792
0.236,2.609,2.845
0.091,2.625,2.716
0.093,2.623,2.716
0.31,2.588,2.898
0.169,2.564,2.733
0.158,2.572,2.729
0.163,2.534,2.696
0.156,2.502,2.658
0.164,2.585,2.749
0.096,2.645,2.741
0.087,2.601,2.688
0.093,2.572,2.665
0.161,2.53,2.691
0.234,2.565,2.799
0.234,2.548,2.782
0.095,2.601,2.696
0.164,2.517,2.681
0.082,2.595,2.678
0.093,2.577,2.67
0.085,2.789,2.875
0.085,2.499,2.584
0.092,2.564,2.657
0.086,2.561,2.647
0.169,2.613,2.782
0.084,2.64,2.723
0.092,2.602,2.694
0.165,2.587,2.752
0.091,2.555,2.646
0.092,2.57,2.663
0.174,2.583,2.756
0.087,2.567,2.654
0.096,2.585,2.681
0.087,2.518,2.606
0.087,2.561,2.648
0.092,2.574,2.666
0.092,2.586,2.677
0.09,2.542,2.632
0.163,2.538,2.701
0.237,2.548,2.785
0.088,2.536,2.624
0.089,2.584,2.673
0.087,2.52,2.607
0.087,2.557,2.644
0.093,2.567,2.66
0.092,2.577,2.669
0.086,2.558,2.643
0.178,2.555,2.733
0.087,2.6,2.687
0.088,2.578,2.667
0.161,2.506,2.667
0.088,2.565,2.653
0.085,2.627,2.712
0.17,2.617,2.786
0.167,2.586,2.753
0.085,2.561,2.646
0.134,2.73,2.864
0.087952852249146,2.56882882118225,
0.089892148971558,2.51197123527527,
0.087411403656006,2.51443314552307,
0.086355924606323,2.49542498588562,
0.092096328735352,2.49757218360901,
0.096122980117798,2.50275135040283,
0.089368104934692,2.51484680175781,
0.089718341827393,2.49544191360474,
0.092092275619507,2.49650526046753,
0.095366716384888,2.55977439880371,
